"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
13	"OU1"	1282.98425956871	-2559.96851913742	-2559.95671392345	-2543.11081888874	3	1600	210	0	0.164333372141707	0	0.0076513174054308	0	0.903941965952944	0.00530386163822547	0	0	-2559.95671392345	237.766889729983	2.19253845544369e-52
13	"OUM"	1400.18547178802	-2792.37094357604	-2792.35125853667	-2769.89400991114	4	1700	73	0	0.284637825387823	0.284637825387823	0.0102602182561163	0.0102602182561163	0.846805618637653	0.00468330585035067	0.991328401021774	0.0063860043900639	-2792.35125853667	5.37234511675933	0.0637942291812287
13	"OUMV"	1403.87657287546	-2797.75314575092	-2797.72360365343	-2769.65697866979	5	1300	480	53	0.258816663098254	0.258816663098254	0.010129112315129	0.00831394843281542	0.84740515300994	0.00502783228866504	0.991933764693486	0.00619192309243798	-2797.72360365343	0	0.936205770818771
14	"BM1"	1323.35740046913	-2642.71480093827	-2642.70890123326	-2631.47633410582	2	1000	0	0	0	0	0.00276488652678112	0	0.954181517413209	0.214356119396609	0	0	-2642.70890123326	830.144871464144	3.94009589557611e-181
14	"BMS"	1340.41077256628	-2674.82154513257	-2674.8097399186	-2657.96384488389	3	670	350	0	0	0	0.00239116157037702	0.00349182743467274	0.945466286258159	0.218039510283918	0	0	-2674.8097399186	798.044032778801	3.68226758395633e-174
14	"OU1"	1688.80712569941	-3371.61425139882	-3371.60244618485	-3354.75655115014	3	1500	350	0	0.102455949175571	0	0.00388313948018775	0	0.913415900261941	0.00659882259767116	0	0	-3371.60244618485	101.251326512548	7.45983163354764e-23
14	"OUM"	1733.01556096032	-3458.03112192063	-3458.01143688126	-3435.55418825572	4	1500	260	0	0.127928802859566	0.127928802859566	0.00421114686035749	0.00421114686035749	0.861744105813036	0.0067642554500453	0.983889318158901	0.008968778153788	-3458.01143688126	14.8423358161381	0.000432715994967439
14	"OUMV"	1740.48039499941	-3470.96078999882	-3470.93124790133	-3442.86462291769	5	1200	400	180	0.123692793153407	0.123692793153407	0.00375730261592627	0.00486511843387744	0.862669068564243	0.0066616917957005	0.984153708776908	0.00995962984817628	-3470.93124790133	1.92252479606532	0.276505812679846
14	"OUMVA"	1742.44757600387	-3472.89515200774	-3472.8537726974	-3439.17975151038	6	1200	400	180	0.124783574840396	0.123436016947065	0.0033471214110587	0.00490312367287373	0.862437204341311	0.00653027176011435	0.983321414365519	0.00993597143765508	-3472.8537726974	0	0.723061471325187
15	"BM1"	1138.07030173705	-2272.14060347409	-2272.13470376908	-2260.90213664164	2	1000	0	0	0	0	0.00289561835895123	0	0.940493979693843	0.216183835741786	0	0	-2272.13470376908	1035.55272319594	1.07900460398559e-225
15	"BMS"	1204.09974144121	-2402.19948288243	-2402.18767766846	-2385.34178263374	3	680	340	0	0	0	0.00355652007692351	0.00159256894828297	0.966234714035197	0.192435985129305	0	0	-2402.18767766846	905.499749296557	1.8778796583052e-197
15	"OU1"	1562.45436552784	-3118.90873105568	-3118.89692584171	-3102.051030807	3	1500	320	0	0.105050602811087	0	0.00420243433825029	0	0.903263976631093	0.00608143701360042	0	0	-3118.89692584171	188.790501123305	8.03717755811212e-42
15	"OUM"	1632.96908577178	-3257.93817154357	-3257.9184865042	-3235.46123787866	4	1600	250	0	0.140048970513254	0.140048970513254	0.00468595341879939	0.00468595341879939	0.852243511305336	0.00582366013703774	0.989994109141184	0.00808798091402167	-3257.9184865042	49.7689404608136	1.23951530483235e-11
15	"OUMV"	1657.50233363265	-3305.00466726529	-3304.9751251678	-3276.90850018416	5	1200	520	150	0.127522000604467	0.127522000604467	0.00509153781274639	0.00308934459814894	0.853351729695626	0.00670830270292271	0.990099279479675	0.00726088876594877	-3304.9751251678	2.71230179720942	0.204866594312675
15	"OUMVA"	1659.86440313768	-3307.72880627536	-3307.68742696501	-3274.013405778	6	1200	520	150	0.128403849258147	0.12701398456098	0.00454186723072582	0.00315514577707217	0.85343672147684	0.00657839172690798	0.989086204217585	0.0073085457278122	-3307.68742696501	0	0.79513340567493
16	"BM1"	1307.36122351857	-2610.72244703713	-2610.71654733212	-2599.48398020468	2	1000	0	0	0	0	0.00273456163048086	0	0.951146648895233	0.216592463930438	0	0	-2610.71654733212	873.956384053799	1.66935650659033e-190
16	"BMS"	1335.687338121	-2665.374676242	-2665.36287102803	-2648.51697599332	3	680	340	0	0	0	0.003161810682601	0.00189026508113667	0.952905383494608	0.227029177069827	0	0	-2665.36287102803	819.310060357887	1.22700833513163e-178
