"","id","model","loglik","AIC","AICc","BIC","param.count","eigval1","eigval2","eigval3","X0_alpha","X1_alpha","sigma0","X1_sigma.sq","theta0","theta_se0","theta_1","theta_se_1","fit","delta","w","data","regime","tree"
"32","ouwie_Afr_avgl_35","OUM",-1656.79931317615,3321.5986263523,3321.62050819037,3343.65346334366,4,1500,180,0,0.180409799675532,0.180409799675532,0.172461850586145,0.172461850586145,0.591642422337458,0.0258176661826099,1.19657965588593,0.0955660318715759,3321.62050819037,0,0.472346994081033,"empirical","Megafauna","set_trees"
"33","ouwie_Afr_avgl_36","OUM",-1691.41167236358,3390.82334472716,3390.84522656523,3412.87818171851,4,1500,130,0,0.202436144051699,0.202436144051699,0.19105656556315,0.19105656556315,0.547788418713457,0.0232736203120832,1.17674594587074,0.0935271141995703,3390.84522656523,0,0.673275017909964,"empirical","Megafauna","set_trees"
"34","ouwie_Afr_avgl_37","OUM",-1778.42738791452,3564.85477582905,3564.87665766712,3586.90961282041,4,1800,2.8,0,2.20159678363798,2.20159678363798,1.82744641607284,1.82744641607284,0.497300463856196,0.0156623951781025,1.1585636922127,0.0782329111062607,3564.87665766712,0,0.54115818923654,"empirical","Megafauna","set_trees"
"35","ouwie_Afr_avgl_38","OUM",-1653.08983405754,3314.17966811507,3314.20154995315,3336.23450510643,4,1500,160,0,0.189037512135691,0.189037512135691,0.171243369188506,0.171243369188506,0.563570041301928,0.0234434568131861,1.23537148628008,0.089979515095272,3314.20154995315,0,0.693969479211532,"empirical","Megafauna","set_trees"
"36","ouwie_Afr_avgl_39","OUM",-1682.17606651417,3372.35213302833,3372.3740148664,3394.40697001969,4,1500,160,0,0.200466916976585,0.200466916976585,0.188676759843092,0.188676759843092,0.566013378325398,0.0235187838504521,1.20467855743234,0.092147884435139,3372.3740148664,0,0.7282133324827,"empirical","Megafauna","set_trees"
"37","ouwie_Afr_avgl_4","OUM",-1641.25042581529,3290.50085163059,3290.52273346866,3312.55568862195,4,1500,180,0,0.137885309714966,0.137885309714966,0.133298166595045,0.133298166595045,0.590294341686313,0.0267264084231418,1.20851136886074,0.102068647650134,3290.52273346866,0,0.576621474444728,"empirical","Megafauna","set_trees"
"38","ouwie_Afr_avgl_40","OUM",-1777.77141100494,3563.54282200988,3563.56470384795,3585.59765900124,4,6.2e+09,920,0,3.21321169198094,3.21321169198094,2.65498118187397,2.65498118187397,0.500664351354486,0.0155268811711836,1.11886047976946,0.079568635906509,3563.56470384795,0,0.967441140633012,"empirical","Megafauna","set_trees"
"39","ouwie_Afr_avgl_41","OUM",-1671.3096920343,3350.6193840686,3350.64126590667,3372.67422105996,4,1500,140,0,0.195907733474052,0.195907733474052,0.187159274697979,0.187159274697979,0.57591905868539,0.023739207166962,1.15153436640278,0.0985118882382473,3350.64126590667,0,0.69072328979439,"empirical","Megafauna","set_trees"
"40","ouwie_Afr_avgl_42","OUM",-1564.75613827349,3137.51227654697,3137.53415838505,3159.56711353833,4,1400,180,0,0.148826505672471,0.148826505672471,0.132478097418158,0.132478097418158,0.549125624260482,0.0260459960452176,1.22479810146444,0.0941146042713305,3137.53415838505,0,0.71377012824354,"empirical","Megafauna","set_trees"
"41","ouwie_Afr_avgl_43","OUM",-1829.80803915329,3667.61607830658,3667.63796014466,3689.67091529794,4,5.6e+09,920,0,3.43226048933357,3.43226048933357,2.99834020960165,2.99834020960165,0.498446839839797,0.0159488564724399,1.2050462488381,0.0801510080181569,3667.63796014466,0,0.620364672981012,"empirical","Megafauna","set_trees"
"42","ouwie_Afr_avgl_44","OUM",-1647.2319743684,3302.46394873679,3302.48583057487,3324.51878572815,4,1500,140,0,0.211774118609691,0.211774118609691,0.19317689695315,0.19317689695315,0.544096281236065,0.0226980204799215,1.28238493769551,0.0922624905557139,3302.48583057487,0,0.692546556502498,"empirical","Megafauna","set_trees"
"43","ouwie_Afr_avgl_45","OUM",-1773.4808335557,3554.96166711141,3554.98354894948,3577.01650410277,4,1800,7.9,0,1.06985657171462,1.06985657171462,0.902684164319132,0.902684164319132,0.50783994833544,0.0160942836613923,1.13469331707172,0.0788042893031601,3554.98354894948,0,0.755644528816439,"empirical","Megafauna","set_trees"
"44","ouwie_Afr_avgl_46","OU1",-1816.52376660471,3639.04753320942,3639.06065513397,3655.58866095294,3,5.5e+09,920,0,3.45906587657342,3.45906587657342,2.97638334045017,2.97638334045017,0.530066617886144,0.0155108563709674,0.530066617886144,0.0155108563709674,3639.06065513397,0,1,"empirical","Megafauna","set_trees"
"45","ouwie_Afr_avgl_47","OUM",-1626.92596856686,3261.85193713371,3261.87381897179,3283.90677412507,4,1500,160,0,0.165613954325302,0.165613954325302,0.155820527804454,0.155820527804454,0.587258305643146,0.0256656357873574,1.2415584308227,0.0923755395948857,3261.87381897179,0,0.498195018277937,"empirical","Megafauna","set_trees"
"46","ouwie_Afr_avgl_48","OUM",-1873.40342624701,3754.80685249402,3754.8287343321,3776.86168948538,4,5.7e+09,920,0,3.4020554936359,3.4020554936359,3.12008993264921,3.12008993264921,0.506453151344488,0.0163002344308618,1.10065847827275,0.0826399587930483,3754.8287343321,0,0.72767346221403,"empirical","Megafauna","set_trees"
"47","ouwie_Afr_avgl_49","OUM",-1781.26886535038,3570.53773070077,3570.55961253884,3592.59256769213,4,5.1e+09,920,0,3.65101027203743,3.65101027203743,3.04397801488722,3.04397801488722,0.49380559574019,0.0156196114074074,1.14465702366213,0.0776348766139425,3570.55961253884,0,0.999999999999989,"empirical","Megafauna","set_trees"
"48","ouwie_Afr_avgl_5","OUM",-1550.17482103286,3108.34964206572,3108.3715239038,3130.40447905708,4,1400,170,0,0.137846692401075,0.137846692401075,0.126380862611317,0.126380862611317,0.617048150271259,0.0280873208512211,1.19612100829959,0.0943916197456132,3108.3715239038,0,0.519543633544402,"empirical","Megafauna","set_trees"
"49","ouwie_Afr_avgl_50","OUM",-1667.86052100697,3343.72104201393,3343.74292385201,3365.77587900529,4,1500,130,0,0.214108898493544,0.214108898493544,0.200163930731858,0.200163930731858,0.567271527700059,0.0234256619149485,1.17650603902212,0.0923511126516001,3343.74292385201,0,0.646074564140553,"empirical","Megafauna","set_trees"
"50","ouwie_Afr_avgl_51","OUM",-1562.22514238576,3132.45028477152,3132.47216660959,3154.50512176288,4,1400,180,0,0.148357112891988,0.148357112891988,0.136058330927891,0.136058330927891,0.617114851398652,0.0268442376265878,1.14722764059029,0.100832001884149,3132.47216660959,0,0.380184514061998,"empirical","Megafauna","set_trees"
"51","ouwie_Afr_avgl_52","OUM",-1724.06909535053,3456.13819070106,3456.16007253914,3478.19302769242,4,1600,53,0,0.308725960730637,0.308725960730637,0.281780450319295,0.281780450319295,0.537757988502744,0.020003261578986,1.19583175177182,0.0851753732025263,3456.16007253914,0,0.734939020850245,"empirical","Megafauna","set_trees"
"52","ouwie_Afr_avgl_53","OUM",-1765.32050215906,3538.64100431812,3538.6628861562,3560.69584130948,4,5.8e+09,920,0,3.36200060937562,3.36200060937562,2.73638574255804,2.73638574255804,0.496589022568977,0.0153979331943874,1.15569806479401,0.0746159232576703,3538.6628861562,0,0.988486615033696,"empirical","Megafauna","set_trees"
"53","ouwie_Afr_avgl_54","OUM",-1713.80973031997,3435.61946063995,3435.64134247802,3457.67429763131,4,1500,93,0,0.22316067297611,0.22316067297611,0.21102933381981,0.21102933381981,0.558140830415167,0.0223961998018464,1.1940550334045,0.0963511307125032,3435.64134247802,0,0.636377469685894,"empirical","Megafauna","set_trees"
"54","ouwie_Afr_avgl_55","OUM",-1766.21640075521,3540.43280151042,3540.4546833485,3562.48763850178,4,1600,74,0,0.277157496311179,0.277157496311179,0.269914233603004,0.269914233603004,0.542945202566006,0.0212142787251935,1.2264093638359,0.091196345930669,3540.4546833485,0,0.703062535162754,"empirical","Megafauna","set_trees"
"55","ouwie_Afr_avgl_56","OUM",-1458.33787931453,2924.67575862905,2924.69764046713,2946.73059562041,4,1300,200,0,0.110616359063915,0.110616359063915,0.0997955070097343,0.0997955070097343,0.657434477298021,0.0317374029781867,1.17299051191031,0.102292649892793,2924.69764046713,0,0.514257551785785,"empirical","Megafauna","set_trees"
"56","ouwie_Afr_avgl_57","OUM",-1782.46671861084,3572.93343722169,3572.95531905976,3594.98827421305,4,5.8e+09,920,0,3.3469375574521,3.3469375574521,2.78199514782496,2.78199514782496,0.499684464324269,0.0155704109857217,1.09743004954116,0.0744860055786787,3572.95531905976,0,0.660567796194043,"empirical","Megafauna","set_trees"
"57","ouwie_Afr_avgl_58","OUM",-1692.03755988497,3392.07511976995,3392.09700160802,3414.12995676131,4,1500,120,0,0.18171507923267,0.18171507923267,0.169026822142904,0.169026822142904,0.568998614682941,0.0225926745335518,1.20869230651857,0.0929383634549723,3392.09700160802,0,0.61250596115696,"empirical","Megafauna","set_trees"
"58","ouwie_Afr_avgl_59","OUM",-1713.78625636424,3435.57251272848,3435.59439456656,3457.62734971984,4,1500,110,0,0.247903381569017,0.247903381569017,0.238732664567401,0.238732664567401,0.518884986381077,0.0227177401991912,1.2471352071802,0.0929129403278647,3435.59439456656,0,0.709672192596175,"empirical","Megafauna","set_trees"
"59","ouwie_Afr_avgl_6","OUM",-1879.34320741201,3766.68641482402,3766.70829666209,3788.74125181538,4,5.9e+09,920,0,3.30294995777716,3.30294995777716,3.04141104037495,3.04141104037495,0.500082478925292,0.0163349862717799,1.14948416212259,0.082524056119956,3766.70829666209,0,0.708490927488017,"empirical","Megafauna","set_trees"
