Column1;x;PalmSubfamily;accGenus;PalmTribe;;;;;;;;;;SpecName;PalmSubfamily;accGenus;PalmTribe
103;Licuala_mirabilis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_vidaliana;Arecoideae;Areca;Areceae
104;Licuala_pitta;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_whitfordii;Arecoideae;Areca;Areceae
105;Licuala_corneri;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_australasica;Coryphoideae;Arenga;Caryoteae
106;Licuala_punctulata;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_brevipes;Coryphoideae;Arenga;Caryoteae
107;Licuala_mustapana;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_caudata;Coryphoideae;Arenga;Caryoteae
108;Licuala_beccariana;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_distincta;Coryphoideae;Arenga;Caryoteae
109;Licuala_telifera;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_engleri;Coryphoideae;Arenga;Caryoteae
110;Licuala_crassiflora;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_hastata;Coryphoideae;Arenga;Caryoteae
111;Licuala_lauterbachii;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_hookeriana;Coryphoideae;Arenga;Caryoteae
112;Licuala_rumphii;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_listeri;Coryphoideae;Arenga;Caryoteae
113;Licuala_sallehana;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_longicarpa;Coryphoideae;Arenga;Caryoteae
114;Licuala_kuchingensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_longipes;Coryphoideae;Arenga;Caryoteae
115;Licuala_densiflora;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_micrantha;Coryphoideae;Arenga;Caryoteae
116;Licuala_merguensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_microcarpa;Coryphoideae;Arenga;Caryoteae
117;Licuala_grandiflora;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_mindorensis;Coryphoideae;Arenga;Caryoteae
118;Licuala_manglaensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_obtusifolia;Coryphoideae;Arenga;Caryoteae
119;Licuala_simplex;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_pinnata;Coryphoideae;Arenga;Caryoteae
120;Licuala_grandis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_plicata;Coryphoideae;Arenga;Caryoteae
121;Licuala_paludosa;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_porphyrocarpa;Coryphoideae;Arenga;Caryoteae
122;Licuala_rheophytica;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_retroflorescens;Coryphoideae;Arenga;Caryoteae
123;Licuala_spathellifera;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_ryukyuensis;Coryphoideae;Arenga;Caryoteae
124;Licuala_bacularia;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_talamauensis;Coryphoideae;Arenga;Caryoteae
125;Licuala_bayana;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_tremula;Coryphoideae;Arenga;Caryoteae
126;Licuala_sarawakensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_undulatifolia;Coryphoideae;Arenga;Caryoteae
127;Licuala_longipes;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_westerhoutii;Coryphoideae;Arenga;Caryoteae
128;Licuala_burretii;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Arenga_wightii;Coryphoideae;Arenga;Caryoteae
129;Licuala_montana;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Asterogyne_guianensis;Arecoideae;Asterogyne;Geonomateae
130;Licuala_parviflora;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Asterogyne_martiana;Arecoideae;Asterogyne;Geonomateae
131;Licuala_concinna;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Asterogyne_ramosa;Arecoideae;Asterogyne;Geonomateae
132;Licuala_ferruginoides;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Asterogyne_spicata;Arecoideae;Asterogyne;Geonomateae
133;Licuala_tenuissima;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Asterogyne_yaracuyense;Arecoideae;Asterogyne;Geonomateae
134;Licuala_rubiginosa;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Astrocaryum_acaule;Arecoideae;Astrocaryum;Cocoseae
