"","SpecName","Area_code_L3","accGenus","PalmTribe","PalmSubfamily","AverageFruitLength_cm","accAfrica","Americas","Asia","Africa","Madagascar","Pacific","accRealm","area","region","continent","log_BBM_MCC","log_BBM_mean"
"990","Calamus_concinnus","THA","Calamus","Calameae","Calamoideae",0.8,"0","0","1","0","0","0","Asia","Thailand","Indo-China","ASIA-TROPICAL",3.45237514574331,0.683216634517871
"991","Calamus_concinnus","MYA","Calamus","Calameae","Calamoideae",0.8,"0","0","1","0","0","0","Asia","Myanmar","Indo-China","ASIA-TROPICAL",3.45237514574331,0.683216634517871
"992","Calamus_conirostris","SUM","Calamus","Calameae","Calamoideae",3,"0","0","1","0","0","0","Asia","Sumatera","Malesia","ASIA-TROPICAL",-0.0904982945267681,0.743688566253068
"993","Calamus_conirostris","BOR","Calamus","Calameae","Calamoideae",3,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",-0.0904982945267681,0.743688566253068
"994","Calamus_conirostris","MLY","Calamus","Calameae","Calamoideae",3,"0","0","1","0","0","0","Asia","Malaya","Malesia","ASIA-TROPICAL",-0.0904982945267681,0.743688566253068
"995","Calamus_convallium","BOR","Calamus","Calameae","Calamoideae",3.12,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",0.0107266609095198,0.843234669263316
"996","Calamus_corrugatus","BOR","Calamus","Calameae","Calamoideae",1,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",1.37726355929941,0.832070620327587
"997","Calamus_cumingianus","PHI","Calamus","Calameae","Calamoideae",0.65,"0","0","1","0","0","0","Asia","Philippines","Malesia","ASIA-TROPICAL",0.668688871245392,0.853003212082078
"998","Calamus_dasyacanthus","NWG","Calamus","Calameae","Calamoideae",1.09,"0","0","1","0","0","0","Asia","New Guinea","Papuasia","ASIA-TROPICAL",0.213176571782096,0.779041387882875
"999","Calamus_deerratus","LBR","Calamus","Calameae","Calamoideae",1.5,"1","0","0","1","0","0","Africa","Liberia","West Tropical Africa","AFRICA",2.288288158226,0.972551569435506
