"","area","meanFW_angios","medianFW_angios","max95FW_angios","X","LAT","LONG","accAfrica","max95FL_palms","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean","LEVEL_3_CO","sqrt_change"
"33","Caroline Is.",3.30590654205607,1.5,10,33,7.212482218,146.7096536,0,8.88085964645451,319.256567692974,0.0369928571428572,410.418722645179,16.97,271.822392285086,151.562787600039,19.2951498148843,4360.65943600868,NA,NA,"Pacific",1.2785,0.8382,"CRL",0.192335272747505
"34","Cuba",2.79859756097561,1.3445,9.84550149020803,34,21.62013286,-79.0352374,0,2.5,6628.90803467998,13.9240333333333,87271.8697164438,88.53,251.387233137961,1713.18195316874,57.6989871585487,1322.52640446979,24.0513,0.174888407,"Americas",1.3818,1.2043,"CUB",3.73149210548988
"35","Djibouti",1.30408571428571,1,2.67740766714751,35,11.7498128,42.5779403,1,5.0884213032821,52951.9356695902,729.68728125,4946418.75903601,98.33,280.546252942991,3423.05651889839,62.3749715763881,183.208470201783,NA,NA,"Africa",1.1284,1.1788,"DJI",27.0127244322005
"36","Dominican Republic",2.85505263157895,1.2985,9.93105546339011,36,18.89309386,-70.48543447,0,3.00758935343027,761.312147110936,12.3281883116883,50703.2509226259,96.88,239.736046538071,1259.02765658595,41.7986776712714,1368.31837434449,19.8836,0.342853271,"Americas",1.4428,1.212,"DOM",3.51115199210862
"37","Ecuador",2.73417014925373,1.5,8.20514769306108,37,-1.452912352,-78.39320786,0,7,9762.09538028478,80.3256331042832,141307.886574468,94.37,202.379744344183,504.3085097822,49.7991191381324,2200.64101129223,19.4683,0.625712647,"Americas",1.31675,1.18475,"ECU",8.96245686763865
"38","East Himalaya",1.96983068783069,1.1,5.53094440686492,38,27.77772472,92.89621011,0,5.68063488599444,99822.1643755778,155.534657255639,1652542.44165727,67.52,122.429928868982,5082.93779918485,83.2062151759797,2452.89420536807,39.0494,0.657353103,"Asia",1.2758,1.1416,"EHM",12.4713534652675
"39","El Salvador",2.53473714285714,1.127,9.07590802774012,39,13.73614532,-88.86560674,0,4.96343083271947,7520.95419898746,384.589249259259,1229358.70321977,98.21,251.122536410629,709.173120211812,94.4596031916205,1550.62517663208,23.4014,0.145759525,"Americas",1.3113,1.12705,"ELS",19.6109471790441
"40","Equatorial Guinea",4.22532727272727,3,11.2189683382108,40,1.567924247,10.47599925,1,5.96419392262606,55921.6483506246,0,55921.6483506246,0,230.464168796013,645.228647424704,57.6528684390153,2486.74670193761,20.609,0.949684076,"Africa",1.3155,1.011,"EQG",0
"41","Ethiopia",2.20305172413793,1.1315,7.25386254672945,41,8.626139271,39.61601894,1,11.2002774747975,90439.2215406529,138.799669525424,373691.619229758,56.1,226.384196528598,1389.29004192295,90.3556423905394,862.069120016298,15.7477,0.043358599,"Africa",1.1124,1.1266,"ETH",11.7813271546725
"42","Fiji",2.51733834586466,1.428,6.53795789820706,42,-17.46392922,160.792175,0,6.54443913303928,297.064599560242,0,297.064599560242,0,242.226429580827,1146.51809385732,47.9826525445361,2472.72123068089,NA,NA,"Pacific",1.2424,0.9266,"FIJ",0
