"","LEVEL_3_CO","X","LAT","LONG","accAfrica","max95FL_palms","log_medianFL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean"
"45","GAB",45,-0.590677968,11.79715762,1,7.68672940155047,1.57971347017198,51888.7631273592,8271.47471306923,70865.3386891365,10.86,237.483831177709,726.273413640247,62.915111990259,1840.32471650119,20.7917,0.904296881,"Africa",1.3115,1.05625
"46","GAM",46,13.4529444,-15.3856196,1,10.5428691051437,1.40256979815848,75854.2213014612,129406.520588235,172612.874952643,80.47,280.928066598117,1611.90013075357,136.581123119626,801.647349048477,4.01763,0.121901368,"Africa",1.28465,1.1353
"47","GGI",47,2.369331633,7.97621565,1,10.8505733773608,0.972363737554256,13263.779943905,0,13263.779943905,0,231.558580698745,997.399013332965,62.4093101248677,2360.31505284205,20.1848,0.511858599,"Africa",1.27595,1.05395
"48","GHA",48,7.959643822,-1.207046189,1,9.53301456943931,1.17481364842683,70246.370749979,8605.33797468354,73443.1368969794,11.58,269.188236628003,1496.61547472063,69.3386836203293,1241.7872724372,15.0986,0.232468628,"Africa",1.288,1.1332
"49","GNB",49,12.0161983,-14.98748401,1,13.7191515578198,0.415626482654672,81968.7366059476,3200.03286875726,82500,2.38,276.252854832792,1362.3575436286,127.455073141467,1566.74389850287,12.481,0.096737983,"Africa",1.2632,1.1152
"50","GUA",50,15.7023026,-90.3569493,0,3.5,1.88338833648085,7275,265356.867560664,192025.097099282,98.07,221.977211023323,1311.26410550376,66.0884741906413,2108.33394032354,21.3674,0.609468784,"Americas",1.287,1.1227
"51","GUI",51,10.43854094,-10.94182542,1,10.3923048454133,1.32665108158126,72970.1956827038,519.085000000006,72970.1956827038,0.69,257.741597330213,1868.45164397251,96.5330703091948,1748.28767730192,14.8833,0.063093167,"Africa",1.294,1.135
"52","GUY",52,4.792378272,-58.97416349,0,6.83646770156013,2.13645072507157,7954.88961769081,148789.805617368,407915.935162133,97.46,248.295926342666,558.626118178049,51.3794202106922,2181.33011137983,19.6961,0.895810055,"Americas",1.2901,1.2395
"53","HAI",53,18.93894782,-72.68381472,0,3.67571625187518,2.23767568050786,761.312147110936,12328.1883116883,50703.2509226259,96.88,246.526038830316,1286.44975664774,41.3088638342373,1359.87893368399,23.2712,0.064332411,"Americas",1.4311,1.2122
"54","HAW",54,20.27437592,-156.3821794,0,4.75,3.62951881775682,47.3,0,47.3,0,192.340470370153,1293.87406429816,29.01544027066,1671.37575111456,NA,NA,"Pacific",1.3888,1.0825
"55","HON",55,14.81591848,-86.62017081,0,4.31963486151409,1.93400081419899,7275,265352.326223925,192025.097099282,98.04,230.848913593501,1101.61464134825,61.8338906617466,1809.55435957418,25.696,0.603868726,"Americas",1.3755,1.1539
