"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"	"threshold"
17	"OUMV"	-1936.2151194591	3882.4302389182	3882.46013428441	3910.4671460464	5	5.7e+09	980	29	3.3710016239948	3.3710016239948	2.79135841251295	1.82935979652844	0.500383233008495	0.0147564704768092	0.780817595791768	0.0692754562315876	3882.46013428441	0	0.770239112784921	"25"
18	"OUMV"	-1770.51376600472	3551.02753200944	3551.05720559994	3579.10155883299	5	1500	230	26	0.144370292120003	0.144370292120003	0.136331599113186	0.0945357171347704	0.598440140245953	0.0260293813813543	1.0853780549378	0.0811364037835208	3551.05720559994	0	0.563716718612417	"75"
18	"OUMV"	-1756.77135923222	3523.54271846444	3523.57252472375	3551.594506556	5	1500	220	24	0.1458485022916	0.1458485022916	0.137265745966169	0.0761564519135222	0.597522371479813	0.0258084395290726	0.957666645659304	0.0780739374145364	3523.57252472375	0	0.950958429235851	"50"
18	"OUMV"	-1750.41266883639	3510.82533767278	3510.855233039	3538.86224480098	5	1500	210	22	0.146814052132669	0.146814052132669	0.13780478160772	0.0712984661700068	0.598651479892405	0.0256808886558474	0.833389812765352	0.0799546926699813	3510.855233039	0	0.502305048978565	"25"
19	"OUM"	-1938.53292741488	3885.06585482977	3885.0856274447	3907.52507628861	4	1900	7.9	0	0.783174251555058	0.783174251555058	0.66081301018481	0.66081301018481	0.504266075509514	0.0157263830541839	1.03603132033427	0.0794321409628429	3885.0856274447	0	0.906835802265147	"75"
19	"OUM"	-1923.85448363287	3855.70896726573	3855.72882823892	3878.15039773898	4	1900	9.3	0	0.851034187575092	0.851034187575092	0.709953162416449	0.709953162416449	0.50246701959827	0.0155453255753935	0.912308070989557	0.0835157637952554	3855.72882823892	0	0.999973631562882	"50"
19	"OUM"	-1916.68800870325	3841.3760174065	3841.39593772522	3863.80554310906	4	1900	9.2	0	0.881150768380692	0.881150768380692	0.732502637040692	0.732502637040692	0.502918597556377	0.0154783461014838	0.794716091988624	0.0879019617449144	3841.39593772522	0	0.707024584422694	"25"
20	"OUM"	-2191.06548318468	4390.13096636937	4390.15082734256	4412.57239684262	4	5.6e+09	1000	0	3.42691719759728	3.42691719759728	3.56338465535399	3.56338465535399	0.497283884998546	0.01651678183412	0.867107225868473	0.0904937337300963	4390.15082734256	0	0.999125257201755	"50"
20	"OUMV"	-2203.83175512276	4417.66351024551	4417.69318383602	4445.73753706907	5	5.6e+09	980	37	3.42689730758078	3.42689730758078	3.60847207097414	2.76644545241786	0.497233100608369	0.0166191295936054	1.00174242832317	0.0748877414994931	4417.69318383602	0	0.537286871684827	"75"
20	"OUMV"	-2177.59440104657	4365.18880209314	4365.21869745936	4393.22570922134	5	5.6e+09	980	29	3.42686322606253	3.42686322606253	3.60790179358091	1.85275878329948	0.497213298017132	0.016617114899134	0.780543499791596	0.0687081288156402	4365.21869745936	0	0.983523859801951	"25"
21	"OUM"	-1917.0431021716	3842.0862043432	3842.10597695812	3864.54542580204	4	1800	61	0	0.345623512858608	0.345623512858608	0.312347279460097	0.312347279460097	0.528887340114181	0.0184132900771977	1.09690004806894	0.08742896398072	3842.10597695812	0	0.683128334091723	"75"
21	"OUMV"	-1902.18591088865	3814.3718217773	3814.40162803661	3842.42360986886	5	1700	81	22	0.351719535540691	0.351719535540691	0.318084469304465	0.235537876016719	0.526928643883703	0.0183460610543712	0.976826485909249	0.0795220355131591	3814.40162803661	0	0.554566485371205	"50"
21	"OUMV"	-1894.41580936023	3798.83161872046	3798.86151408668	3826.86852584866	5	1700	75	21	0.354360471358873	0.354360471358873	0.320404519831381	0.207814830595209	0.527048449019242	0.0183215003417766	0.861840738824188	0.0790397862325638	3798.86151408668	0	0.767723706927474	"25"
22	"OUMV"	-1782.74566753727	3575.49133507455	3575.52100866505	3603.5653618981	5	1600	170	33	0.194377484005503	0.194377484005503	0.169790985791398	0.232690409618498	0.553483405006362	0.0213709628888555	1.0740971379525	0.105096501886434	3575.52100866505	0	0.697671691208603	"75"
22	"OUMV"	-1770.63294487542	3551.26588975084	3551.29569601015	3579.3176778424	5	1600	170	29	0.196045792076823	0.196045792076823	0.170572797317279	0.233146189182889	0.551780036682663	0.0212459386015144	0.981739450250274	0.112352068533907	3551.29569601015	0	0.627208249819999	"50"
22	"OUMV"	-1763.93912027263	3537.87824054525	3537.90813591147	3565.91514767345	5	1600	170	28	0.197984062348797	0.197984062348797	0.1718323306033	0.233200896144187	0.551465025633254	0.0211444064380854	0.861298311494394	0.116563403008126	3537.90813591147	0	0.587696484757123	"25"
23	"OUM"	-1787.18292460241	3582.36584920482	3582.38562181975	3604.82507066366	4	1600	160	0	0.220866646970608	0.220866646970608	0.199638841766185	0.199638841766185	0.565843521098638	0.0220659695217763	1.08481829864384	0.0920040538380369	3582.38562181975	0	0.731099785635325	"75"
23	"OUM"	-1774.57665385596	3557.15330771193	3557.17316868512	3579.59473818518	4	1600	160	0	0.222637652609591	0.222637652609591	0.200118759267289	0.200118759267289	0.565141823891054	0.021928505713682	0.940869440539161	0.0998341475978271	3557.17316868512	0	0.68612902022548	"50"
23	"OUM"	-1769.81224392811	3547.62448785623	3547.64440817495	3570.05401355879	4	1600	160	0	0.223498758061275	0.223498758061275	0.200398943046148	0.200398943046148	0.564529327252113	0.0218645077508504	0.887940604126451	0.104144680323004	3547.64440817495	0	0.662982032636195	"25"
