SpecName;accSpecies;PalmTribe;PalmSubfamily;Climbing;Acaulescent;Erect;StemSolitary;StemArmed;LeavesArmed;MaxStemHeight_m;MaxStemDia_cm;UnderstoreyCanopy;MaxLeafNumber;Max_Blade_Length_m;Max_Rachis_Length_m;Max_Petiole_length_m;AverageFruitLength_cm;MinFruitLength_cm;MaxFruitLength_cm;AverageFruitWidth_cm;MinFruitWidth_cm;MaxFruitWidth_cm;FruitSizeCategorical;FruitShape;FruitColorDescription;MainFruitColors;Conspicuousness;MDG;Africa;Asia;America;Pacific;accRealm;accAfrica;moist0_dry1
Pinanga_crassipes;crassipes;Areceae;Arecoideae;0;0;1;1;0;0;2;7;understorey;NA;3.5;NA;2.1;1.6;NA;NA;0.9;NA;NA;small;ovoid;pinkish_red_to_black;"red;_black";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_cucullata;cucullata;Areceae;Arecoideae;0;0;1;0;0;0;0.6;0.8;understorey;8;0.5;NA;NA;1.3;NA;NA;0.5;NA;NA;small;NA;black;black;cryptic;0;0;1;0;0;ASIA;0;0
Pinanga_cupularis;cupularis;Areceae;Arecoideae;0;0;1;0;0;0;2;0.8;understorey;6;0.46;0.4;0.09;1.6;1.2;2;0.3;0.2;0.4;small;ovoid;NA;NA;NA;0;0;1;0;0;ASIA;0;0
Pinanga_curranii;curranii;Areceae;Arecoideae;0;0;1;1;0;0;15;15;canopy;NA;2.5;NA;0.45;1.5;NA;NA;1;NA;NA;small;ovoid;"red;_eaten_by_squirles";red;conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_declinata;declinata;Areceae;Arecoideae;0;0;1;0;0;0;5;5.5;understorey;7;1.63;1.11;0.57;1.75;1.5;2;0.6;0.5;0.7;small;NA;NA;NA;NA;0;0;1;0;0;ASIA;0;0
Pinanga_decora;decora;Areceae;Arecoideae;0;0;1;0;0;0;8;12;canopy;NA;1.5;1.5;NA;1.5;NA;NA;1;NA;NA;small;NA;reddish;red;conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_densiflora;densiflora;Areceae;Arecoideae;0;0;1;0;0;0;2;5;understorey;7;2;NA;0.55;1.6;NA;NA;0.8;NA;NA;small;ovoid;red;red;conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_dicksonii;dicksonii;Areceae;Arecoideae;0;0;1;2;0;0;6;5;canopy;NA;1.5;NA;NA;2;NA;NA;0.7;NA;NA;small;globose;NA;NA;NA;0;0;1;0;0;ASIA;0;0
Pinanga_disticha;disticha;Areceae;Arecoideae;0;0;1;0;0;0;1.8;1;understorey;6;1.5;0.6;0.85;1.35;1.2;1.5;0.9;0.8;1;small;ovoid;red;red;conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_dumetosa;dumetosa;Areceae;Arecoideae;0;0;1;0;0;0;1;1.3;understorey;8;1.5;0.75;0.8;1.5;NA;NA;0.7;NA;NA;small;globose;from_crimson_to_purplish-black;"red;_black";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_egregia;egregia;Areceae;Arecoideae;0;0;1;1;0;0;2;1.5;understorey;7;0.87;0.65;0.24;1.6;NA;NA;0.8;NA;NA;small;NA;"pinkish;_ripening_red_then_purplish-black";"red;_black";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_forbesii;forbesii;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA;NA;NA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Pinanga_fractiflexa;fractiflexa;Areceae;Arecoideae;0;0;1;0;0;0;5;5;understorey;11;2;2;NA;3;NA;NA;1.5;NA;NA;small;NA;brownish_yellow;yellow;conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_furfuracea;furfuracea;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA;NA;NA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Pinanga_geonomiformis;geonomiformis;Areceae;Arecoideae;0;0;1;2;0;0;5;3;understorey;NA;1;NA;0.29;1;NA;NA;0.8;NA;NA;small;NA;pink_to_purplish_black;"pink;_black";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_glauca;glauca;Areceae;Arecoideae;0;0;1;0;0;0;3.5;1.5;understorey;5;0.56;NA;0.13;1.2;NA;NA;0.9;NA;NA;small;NA;NA;NA;NA;0;0;1;0;0;ASIA;0;0
