"","variable","P_sign","P","coeff","r.squared","adj.r.squared","tree"
"(Intercept)36","(Intercept)",TRUE,0,1.069,0.286803189956894,0.227370122453302,68
"normalized((sqrt_change))34","normalized((sqrt_change))",TRUE,0.0198,0.209,0.286803189956894,0.227370122453302,68
"normalized(sqrt(TempSeas))31","normalized(sqrt(TempSeas))",TRUE,1e-04,-0.489,0.286803189956894,0.227370122453302,68
"normalized(sqrt(AnnualPrec))20","normalized(sqrt(AnnualPrec))",TRUE,0.0349,0.279,0.286803189956894,0.227370122453302,68
"(Intercept)37","(Intercept)",TRUE,0,0.672,0.325323932786195,0.269100927185045,69
"normalized(sqrt(CH_Mean))4","normalized(sqrt(CH_Mean))",TRUE,0.0048,-0.417,0.325323932786195,0.269100927185045,69
"normalized((sqrt_change))35","normalized((sqrt_change))",TRUE,0.0183,0.187,0.325323932786195,0.269100927185045,69
"normalized(sqrt(PrecSeas))23","normalized(sqrt(PrecSeas))",TRUE,0.001,0.486,0.325323932786195,0.269100927185045,69
"(Intercept)38","(Intercept)",TRUE,0.0018,0.658,0.239746068383871,0.176391574082527,70
"normalized((sqrt_change))36","normalized((sqrt_change))",TRUE,0.0011,0.34,0.239746068383871,0.176391574082527,70
"(Intercept)39","(Intercept)",TRUE,0.0353,-0.483,0.352285561162995,0.298309357926578,71
"normalized(sqrt(CH_Mean))5","normalized(sqrt(CH_Mean))",TRUE,0.004,0.612,0.352285561162995,0.298309357926578,71
"normalized(sqrt(curr_max95BodySize))24","normalized(sqrt(curr_max95BodySize))",TRUE,1e-04,-0.563,0.352285561162995,0.298309357926578,71
"normalized(I(MAT^2))11","normalized(I(MAT^2))",TRUE,0.0057,0.469,0.352285561162995,0.298309357926578,71
"normalized(sqrt(TempSeas))32","normalized(sqrt(TempSeas))",TRUE,2e-04,0.568,0.352285561162995,0.298309357926578,71
"normalized(sqrt(PrecSeas))24","normalized(sqrt(PrecSeas))",TRUE,0.0053,0.585,0.352285561162995,0.298309357926578,71
"normalized((sqrt_change))37","normalized((sqrt_change))",TRUE,0.0109,-0.292,0.271461241513977,0.210749678306808,72
"normalized(sqrt(curr_max95BodySize))25","normalized(sqrt(curr_max95BodySize))",TRUE,0.0023,0.429,0.271461241513977,0.210749678306808,72
"(Intercept)40","(Intercept)",TRUE,1e-04,0.8,0.637995282476202,0.607828222682552,73
"factor(accAfrica)113","factor(accAfrica)1",TRUE,0.0433,-0.308,0.637995282476202,0.607828222682552,73
"normalized((sqrt_change))38","normalized((sqrt_change))",TRUE,0,0.637,0.637995282476202,0.607828222682552,73
"normalized(I(MAT^2))12","normalized(I(MAT^2))",TRUE,0.0021,-0.458,0.637995282476202,0.607828222682552,73
"normalized(sqrt(TempSeas))33","normalized(sqrt(TempSeas))",TRUE,0,-1.057,0.637995282476202,0.607828222682552,73
"normalized(sqrt(AnnualPrec))21","normalized(sqrt(AnnualPrec))",TRUE,0,0.641,0.637995282476202,0.607828222682552,73
"normalized((sqrt_change))39","normalized((sqrt_change))",TRUE,3e-04,-0.38,0.437758995031453,0.39090557795074,74
"normalized(sqrt(curr_max95BodySize))26","normalized(sqrt(curr_max95BodySize))",TRUE,0.003,0.377,0.437758995031453,0.39090557795074,74
"(Intercept)41","(Intercept)",TRUE,0.0168,0.367,0.443878326201597,0.397534853385063,75
"normalized(sqrt(CH_Mean))6","normalized(sqrt(CH_Mean))",TRUE,0.0474,-0.278,0.443878326201597,0.397534853385063,75
"normalized((sqrt_change))40","normalized((sqrt_change))",TRUE,0,0.532,0.443878326201597,0.397534853385063,75
"normalized(sqrt(AnnualPrec))22","normalized(sqrt(AnnualPrec))",TRUE,0.0226,-0.256,0.443878326201597,0.397534853385063,75
"normalized((sqrt_change))41","normalized((sqrt_change))",TRUE,0,0.434,0.462984606335152,0.418233323529748,76
"normalized(sqrt(curr_max95BodySize))27","normalized(sqrt(curr_max95BodySize))",TRUE,0.0203,-0.279,0.462984606335152,0.418233323529748,76
"normalized(sqrt(TempSeas))34","normalized(sqrt(TempSeas))",TRUE,8e-04,-0.439,0.462984606335152,0.418233323529748,76
