"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_BM_5"	"OUMA"	38255.7898685375	-76501.579737075	-76501.5501949775	-76473.4835699939	5	1.9e+07	460000	5900	0.000111202845577367	0.564502329550142	1e-09	1e-09	-1.10822385737463e-09	9830642.63835021	-0.583411355235733	3740954257917364
"ouwie_Afr_BM_5"	"OUMVA"	51157.9195872863	-102303.839174573	-102303.797795262	-102270.123774075	6	990	41	18	2.8171503965732e-05	0.534081725392791	1.02413506703053e-09	1.15955667982201e-08	-1.0446143479881e-07	0	0.505981345679645	189991066601456
"ouwie_Afr_BM_50"	"OUMA"	16918.6336991372	-33827.2673982744	-33827.2378561769	-33799.1712311932	5	5900000	450000	7200	0.0191662799773758	0.239945665856498	1e-09	1e-09	71061265.235419	604029.944947238	2.49655259962486	0.122702919063018
"ouwie_Afr_BM_51"	"OUMA"	607117.437002599	-1214224.8740052	-1214224.8444631	-1214196.77783812	5	1.7e+14	-1.6e+14	-9.8e+15	3.02579595012024	3.24062161366914	1.02835463100791e-09	1.02835463100791e-09	-3567889000.49818	914322.141436634	-338.919835807479	0.0438424058123922
"ouwie_Afr_BM_52"	"OUMA"	26366.4812676967	-52722.9625353934	-52722.9329932959	-52694.8663683122	5	1.6e+08	990	-5.4e+08	3.27556037719733	1.21040425715271	1e-09	1e-09	0.145016442074616	2.30953051839319e+47	1.43379708891726e-28	2.90942580712408e+20
"ouwie_Afr_BM_53"	"OUMA"	21150.4148315258	-42290.8296630516	-42290.8001209541	-42262.7334959705	5	4.1e+07	870000	-25000	4.97572144369496e-05	0.202395979535388	1e-09	1e-09	-8645726.56779514	0	2.5924502366704	0
"ouwie_Afr_BM_54"	"OUMA"	25908.6325297034	-51807.2650594068	-51807.2355173094	-51779.1688923257	5	6.1e+09	1.6e+07	21	3.29627267582845	1.46450711372352	1e-09	1e-09	1.21490446508195	1.22146960926902e+45	1.84042879669075e-28	0
"ouwie_Afr_BM_55"	"OUMA"	26124.9064794382	-52239.8129588764	-52239.7834167789	-52211.7167917953	5	5.7e+09	1e+07	1000	3.45210572003488	1.50260719632874	1e-09	1e-09	1.21490446508195	4.59483194193666e+38	1.23209064084007e-24	69489859701869.4
"ouwie_Afr_BM_56"	"OUMA"	25457.5397917873	-50905.0795835745	-50905.0500414771	-50876.9834164934	5	5.7e+09	9.2e+07	1200	3.42764504244316	1.1406265661492	1.00001027347553e-09	1.00001027347553e-09	0.84276950055766	2.57976798026117e+55	-3.96897001315402e-24	0
"ouwie_Afr_BM_57"	"OUMA"	49283.3207512309	-98556.6415024617	-98556.6119603642	-98528.5453353806	5	4.4e+09	1e+09	77000	0.000106938157209156	1.10433856110016	1.00001629493904e-09	1.00001629493904e-09	-1.56881240765145e-14	0	0.592102148905555	2.84908212203694e+42
"ouwie_Afr_BM_57"	"OUMVA"	54200.1866717315	-108388.373343463	-108388.331964153	-108354.657942966	6	1000	44	26	4.99043584652011e-05	0.521359234173441	1.00587460778534e-09	7.73098945009715e-09	68062.6299925226	1.22665766602891e+20	1.98457326959354	292919040890570
"ouwie_Afr_BM_58"	"OUMA"	34444.9200534338	-68879.8401068675	-68879.81056477	-68851.7439397864	5	1.1e+08	930000	-4100	0.00111782348508595	0.754160379301234	1.00601819163406e-09	1.00601819163406e-09	1.39973505026143e-07	4800311793889325	1.26365323243711	3.1902938943806e+23
"ouwie_Afr_BM_59"	"OUMA"	16588.2325648761	-33166.4651297522	-33166.4355876547	-33138.3689626711	5	5400000	25000	-15000	1.73633912693488e-09	0.208345502698947	1e-09	1e-09	1217457.93686121	80603.3882170173	-11.7461793347348	0
"ouwie_Afr_BM_6"	"OUMA"	26470.5889283097	-52931.1778566194	-52931.1483145219	-52903.0816895382	5	6.2e+09	2.5e+07	130	3.26329571858971	1.39662327363102	1e-09	1e-09	1.5405225590407	7.40609459288961e+44	-9.72203909523625e-30	0
"ouwie_Afr_BM_60"	"OUMA"	26506.4354433726	-53002.8708867452	-53002.8413446477	-52974.774719664	5	6.4e+09	6700000	160	3.20743577978566	1.6826987169025	1.0037149936123e-09	1.0037149936123e-09	1.819622743141	58235.2014624387	-2.41556577012789e-32	0
"ouwie_Afr_BM_61"	"OUMA"	26030.210922862	-52050.421845724	-52050.3923036265	-52022.3256786428	5	4600000	9600	-5.7e+07	1.08136418519084e-05	0.316730350462059	1e-09	1e-09	-1.51518629078315e-13	2.36212692444502e-07	2.0873709314512	3299410.53424249
"ouwie_Afr_BM_62"	"OUMA"	26200.8661914486	-52391.7323828972	-52391.7028407997	-52363.6362158161	5	6.1e+09	6.3e+08	1400	3.29588589907564	1.07568062190411	1.02287333025644e-09	1.02287333025644e-09	2.5638937114825	4.25347821329989e+53	-7.05522594912825e-25	1.97707918754924e+29
"ouwie_Afr_BM_63"	"OUMA"	25639.1914107602	-51268.3828215205	-51268.353279423	-51240.2866544393	5	5.8e+09	1e+07	380	3.3961155629095	1.56949567174256	1e-09	1e-09	1.95917439413053	7.62546932907589e+39	1.71084439170465e-16	0
"ouwie_Afr_BM_64"	"OUMA"	25948.5627698165	-51887.125539633	-51887.0959975355	-51859.0293725519	5	3100000	83000	2200	1.87445579702758	1.55871485979164e-09	1e-09	1e-09	-0.227118522449674	1.24098639556326e+43	-5.58077708863092e-59	3.85008482516881e-17
"ouwie_Afr_BM_65"	"OUMA"	25318.9334173132	-50627.8668346264	-50627.8372925289	-50599.7706675453	5	7.8e+07	1.2e+07	140000	0.0288484596553477	0.247662972169477	1e-09	1e-09	990637.601897579	1054.67535785639	-17.6482516091488	0.0855868225040252
"ouwie_Afr_BM_66"	"OUMA"	38962.3813250131	-77914.7626500262	-77914.7331079288	-77886.6664829451	5	1.9e+11	6.9e+08	-1.4e+08	7.67220131219003e-09	0.377765266405117	1.09717060364305e-09	1.09717060364305e-09	-19636925.8217851	776415608592.276	-0.750006809518666	2360519.46655566
"ouwie_Afr_BM_67"	"OUMA"	52163.7201206923	-104317.440241385	-104317.410699287	-104289.344074304	5	8.7e+08	6400000	-20000	4.8356294082327e-05	0.426539137305787	1e-09	1e-09	1.49104207641943e-05	0	1.55363823669258	4265195718.22049
"ouwie_Afr_BM_68"	"OUMVA"	19514.2000669681	-39016.4001339362	-39016.3587546259	-38982.6847334389	6	1000	52	26	1.30698476856628e-09	0.157720599283839	1.00066791146569e-09	0.111022549390106	-11496.0261313317	35832926.8177157	0.218478616871847	51.7795400110271
"ouwie_Afr_BM_68"	"OUMA"	24656.3819404301	-49302.7638808601	-49302.7343387626	-49274.667713779	5	5.1e+08	290	-5.7e+08	3.19131234883537	1.05528731635138	1e-09	1e-09	0.610185147729979	1.5626294734139e+59	-3.77904203661419e-19	0
"ouwie_Afr_BM_69"	"OUMA"	25888.6376345314	-51767.2752690629	-51767.2457269654	-51739.1791019817	5	4.7e+10	1e+07	260	3.23606578730148	0.989619027846078	1.00023985897129e-09	1.00023985897129e-09	0.703218888861051	1.22146094376076e+57	2.27702356186486e-25	4.01958784998746e+30
"ouwie_Afr_BM_7"	"OUMA"	26587.5955234765	-53165.191046953	-53165.1615048555	-53137.0948798719	5	6.1e+09	1.3e+07	1500	3.32235876630915	1.77710550306465	1e-09	1e-09	2.09872500582714	2.11977725094676e+34	-3.43999444251766e-30	0
